,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,gender,capital.gain,capital.loss,hours.per.week,native.country,income,Prediction,Pred. Prob.,CI Low,CI High
26177,52,Private,374883,Assoc-voc,11,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,50,United-States,<=50K,<=50K,0.7393738177823127,0.6962583124649168,0.7824893230997086
16249,59,Private,424468,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,,<=50K,<=50K,0.5934326831167228,0.5585597853225063,0.6283055809109394
25752,19,Private,63434,12th,8,Never-married,Farming-fishing,Own-child,White,Female,0,0,30,United-States,<=50K,<=50K,0.8908139381679969,0.8593847213887004,0.9222431549472935
28292,61,Private,79827,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K,<=50K,0.4863648450512328,0.4571714847519738,0.5155582053504918
29879,43,Local-gov,180407,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,0,0,42,Germany,<=50K,<=50K,0.6656406023459306,0.6323405888952227,0.6989406157966385
6543,64,Private,91343,Some-college,10,Widowed,Tech-support,Unmarried,White,Female,0,0,40,United-States,<=50K,<=50K,0.8439012215852102,0.8090753438433377,0.8787270993270827
8429,43,Local-gov,159449,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K,<=50K,0.5174288727693811,0.4816727290242075,0.5531850165145548
16824,38,Local-gov,409200,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K,<=50K,0.5113877514623083,0.4777258958515918,0.5450496070730249
9874,50,Self-emp-not-inc,324506,HS-grad,9,Widowed,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,48,South,<=50K,<=50K,0.8086476046315138,0.7733945035280628,0.8439007057349647
22028,24,Private,188300,11th,7,Never-married,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,<=50K,<=50K,0.8917144648254323,0.8607953814630528,0.9226335481878117
21878,36,Self-emp-not-inc,409189,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,<=50K,0.5719275594867419,0.5354445071960449,0.6084106117774389
31179,51,Private,194908,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K,<=50K,0.5719267692304968,0.5373265224299303,0.6065270160310633
16097,40,Private,114580,HS-grad,9,Divorced,Craft-repair,Other-relative,White,Female,0,0,40,Vietnam,<=50K,<=50K,0.8254285529466331,0.7855717348122171,0.8652853710810491
6673,57,Self-emp-not-inc,353808,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,>50K,<=50K,0.4944330542866578,0.4612867082180594,0.5275794003552562
9602,60,,153072,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,0,5,United-States,<=50K,<=50K,0.6546839312543616,0.6239626028865103,0.685405259622213
2108,28,Private,119287,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,15024,0,28,United-States,>50K,>50K,0.7040060728977943,0.6817816010779697,0.7262305447176188
23150,30,Private,231826,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K,<=50K,0.5874669977829238,0.5491145396277298,0.6258194559381177
5318,30,Private,283767,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,,<=50K,<=50K,0.6452130342691857,0.6065039013398605,0.683922167198511
22600,54,Self-emp-not-inc,226735,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,45,United-States,<=50K,<=50K,0.6267937512651424,0.5939135179947342,0.6596739845355505
8267,33,Local-gov,147654,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,<=50K,<=50K,0.4673702028372416,0.4368880717797775,0.49785233389470573
3351,42,Self-emp-not-inc,69333,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,White,Male,4386,0,80,United-States,>50K,<=50K,0.4128674413991238,0.37491810670009473,0.45081677609815285
9001,18,Private,201901,11th,7,Never-married,Sales,Own-child,White,Female,0,0,10,United-States,<=50K,<=50K,0.9235824106354813,0.8977171001648707,0.9494477211060919
19586,62,Self-emp-not-inc,168682,7th-8th,4,Married-civ-spouse,Sales,Husband,White,Male,0,0,5,United-States,<=50K,<=50K,0.6749781080985247,0.6417367053597529,0.7082195108372964
1715,64,Private,66634,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,27828,0,50,United-States,>50K,>50K,0.660232587449003,0.6446708258769541,0.675794349021052
22980,19,Private,240686,11th,7,Never-married,Sales,Own-child,White,Female,0,0,25,United-States,<=50K,<=50K,0.9195583979032321,0.8925812083578168,0.9465355874486474
