,age,Medu,Fedu,Fjob,reason,studytime,failures,higher,famrel,Walc,health,absences,Grade,Prediction,Pred. Prob.,CI Low,CI High
532,16,2,1,services,other,2,0,yes,4,4,5,2,fail,pass,0.8093617629328197,0.7882983525579378,0.8304251733077016
375,17,0,2,at_home,home,3,0,yes,3,3,2,0,pass,pass,0.8393316298454054,0.8270287160223571,0.8516345436684538
306,18,3,4,other,reputation,2,0,yes,4,4,1,6,pass,pass,0.9119156542531541,0.8964082922492767,0.9274230162570316
625,18,2,3,services,course,1,0,yes,5,2,4,0,pass,pass,0.7951177340421526,0.7769879379421878,0.8132475301421174
480,19,2,3,services,course,1,1,no,4,1,2,0,fail,fail,0.7027395124716554,0.6844272765232978,0.7210517484200131
470,15,3,3,other,reputation,2,0,yes,4,1,1,4,pass,pass,0.9477459416245131,0.9332312868972008,0.9622605963518254
303,17,3,3,other,home,3,0,yes,3,1,4,2,pass,pass,0.9597444437542082,0.9498202372156365,0.9696686502927799
240,17,3,2,other,course,2,0,yes,5,3,3,2,pass,pass,0.9151376514082536,0.8944096588813667,0.9358656439351406
534,16,4,4,health,other,1,0,yes,4,5,5,0,pass,pass,0.8412968906093906,0.8304992580105679,0.8520945232082133
85,15,4,4,services,reputation,2,0,yes,4,3,5,4,pass,pass,0.8871862554383787,0.867482435018175,0.9068900758585824
477,15,3,3,services,course,1,0,yes,4,4,3,11,pass,pass,0.8847325541584694,0.859132204179379,0.9103329041375599
384,19,3,2,services,home,1,0,yes,5,2,5,0,pass,pass,0.6801842392889199,0.657406445538715,0.7029620330391249
165,15,3,3,services,reputation,3,0,yes,4,3,3,2,pass,pass,0.9088761814302864,0.8849930881151146,0.9327592747454582
239,18,3,1,other,reputation,2,0,yes,5,1,4,4,fail,pass,0.8374557534277015,0.8202386727953316,0.8546728340600714
337,17,4,3,services,reputation,3,0,yes,4,2,3,0,pass,pass,0.9222737324782417,0.9125688420469416,0.9319786229095419
249,16,3,2,other,reputation,3,0,yes,5,3,2,0,pass,pass,0.9599124958231967,0.9479098341492839,0.9719151574971095
122,16,2,4,health,course,2,0,yes,4,2,5,2,pass,pass,0.882097562287523,0.8668490976516069,0.8973460269234391
395,18,4,4,services,home,2,0,yes,4,2,2,0,pass,pass,0.9003549795905426,0.8869255702942767,0.9137843888868085
157,15,2,1,other,home,1,0,no,4,1,5,0,pass,pass,0.6256607142857142,0.6070236159954547,0.6442978125759737
531,17,1,1,services,other,2,0,yes,5,3,1,0,pass,pass,0.8022356751903823,0.7834837516651637,0.8209875987156009
64,15,4,3,services,reputation,2,0,yes,4,4,2,0,pass,pass,0.9123182312033713,0.8911232703957954,0.9335131920109472
251,16,2,1,other,home,1,0,yes,4,1,5,4,fail,pass,0.7506203559257172,0.727690863681044,0.7735498481703904
343,18,4,3,other,reputation,4,0,yes,4,1,3,0,pass,pass,0.9772588857571001,0.9682848099167134,0.9862329615974867
392,17,3,2,other,home,2,0,yes,4,3,2,0,pass,pass,0.9312296660473501,0.9187057088576686,0.9437536232370317
355,17,2,3,other,course,2,0,yes,4,1,3,2,pass,pass,0.9082223457707507,0.8932627615075928,0.9231819300339086
603,18,4,2,other,reputation,2,0,yes,5,1,5,0,fail,pass,0.8735447310186839,0.853263033100208,0.8938264289371598
268,17,4,4,other,course,2,0,yes,3,3,4,0,pass,pass,0.9416699322861366,0.9321996307315197,0.9511402338407535
593,18,1,2,other,reputation,2,0,yes,4,2,4,0,pass,pass,0.7932021893045368,0.7790530436153531,0.8073513349937205
271,17,4,4,services,course,2,0,yes,5,4,5,2,pass,pass,0.8922362726052246,0.8773084760787121,0.9071640691317372
646,18,1,1,other,course,2,0,yes,1,1,5,6,pass,pass,0.559051921349641,0.5398602269058586,0.5782436157934234
50,16,2,2,services,course,2,0,yes,4,3,4,0,pass,pass,0.8873286312646073,0.8693475258882388,0.9053097366409757
499,16,2,2,other,course,1,0,yes,4,2,5,0,pass,pass,0.7827741137759832,0.7601709667468071,0.8053772608051593
449,15,1,2,services,course,1,0,yes,5,1,1,3,pass,pass,0.682962200505695,0.6624383541638627,0.7034860468475274
439,15,3,3,services,course,1,0,yes,4,1,4,0,pass,pass,0.8397495574257634,0.8226653453877161,0.8568337694638107
235,17,1,1,other,reputation,3,0,yes,4,1,5,12,pass,pass,0.7680499054906045,0.7441117980442563,0.7919880129369526
578,17,3,3,other,course,2,1,yes,4,3,3,4,fail,pass,0.6753113970685398,0.6538200518315207,0.6968027423055589
506,20,3,3,services,other,2,1,yes,3,4,3,8,pass,fail,0.4238004776021081,0.4040996649967189,0.4435012902074973
75,15,4,3,other,home,2,0,yes,4,3,5,0,pass,pass,0.9457571865254805,0.9258491901994576,0.9656651828515034
159,15,1,2,other,course,2,0,yes,4,1,5,6,pass,pass,0.7808330811721009,0.7642090774581304,0.7974570848860715
644,19,2,3,other,course,3,1,yes,5,2,5,4,pass,pass,0.6380567650385469,0.6155675914193427,0.6605459386577511
386,17,2,4,other,course,3,0,yes,4,1,5,0,pass,pass,0.8932255181718493,0.8817085551978247,0.9047424811458739
509,16,1,1,other,course,2,0,yes,5,1,1,0,pass,pass,0.847428314860636,0.8269165873467947,0.8679400423744772
505,17,1,1,other,reputation,1,0,yes,4,2,5,0,pass,pass,0.7133163246290737,0.6953044247555668,0.7313282245025806
245,17,2,2,other,course,2,0,yes,4,1,1,0,pass,pass,0.8975254111636539,0.8825902573189202,0.9124605650083877
592,17,3,3,services,course,1,0,yes,4,1,4,0,pass,pass,0.8193651268183667,0.8017470313925951,0.8369832222441383
564,16,3,2,other,course,1,0,yes,4,3,5,2,pass,pass,0.8495849004953996,0.82071519804906,0.8784546029417392
190,16,2,2,other,reputation,2,0,yes,3,4,5,0,pass,pass,0.8984680829772561,0.8731979370358869,0.9237382289186253
528,17,2,2,other,other,1,0,yes,5,2,5,5,fail,pass,0.7374479759898235,0.7073446125571288,0.7675513394225182
538,16,2,2,other,course,3,0,yes,4,2,5,2,pass,pass,0.8839547663775393,0.8702478699621556,0.897661662792923
643,18,4,4,at_home,reputation,1,0,yes,4,2,5,4,fail,pass,0.8100993694227925,0.7981164629141576,0.8220822759314274
175,17,3,2,other,course,2,2,yes,4,4,3,4,fail,pass,0.6018055555555556,0.574052779665374,0.6295583314457371
400,18,4,3,services,course,3,0,yes,5,2,4,4,pass,pass,0.9069397365371578,0.8911537625850622,0.9227257104892533
52,15,4,2,health,other,1,0,yes,5,4,5,4,fail,pass,0.859537970540476,0.8447711316797817,0.8743048094011703
48,15,4,2,other,home,2,0,yes,4,2,5,4,pass,pass,0.9160077006050048,0.899093918557534,0.9329214826524757
436,15,1,1,services,course,1,1,yes,4,2,2,4,fail,pass,0.5324496676447016,0.5191396268106833,0.5457597084787199
405,19,2,3,other,home,1,1,no,2,4,5,16,pass,fail,0.5351861111111111,0.5097551422380687,0.5606170799841536
205,17,1,1,services,course,2,0,yes,5,1,3,0,pass,pass,0.8274880076940615,0.8074170470989044,0.8475589682892186
206,17,1,2,services,other,2,0,yes,4,5,5,16,pass,pass,0.7866903314692317,0.7770306624549859,0.7963500004834776
272,17,1,1,other,home,3,0,yes,4,1,1,2,pass,pass,0.8758781600647988,0.8635982543669497,0.8881580657626479
14,15,2,2,other,home,3,0,yes,4,1,3,0,pass,pass,0.9178795517694123,0.9016297441451562,0.9341293593936684
422,18,3,2,other,home,2,0,yes,3,2,1,4,pass,pass,0.8878712847327983,0.8652149230365401,0.9105276464290565
18,17,3,2,services,course,1,3,yes,5,4,5,2,fail,fail,0.6968873610307821,0.6810470668972388,0.7127276551643253
628,17,2,2,at_home,home,3,0,yes,3,1,3,8,pass,pass,0.9252607620468827,0.9147267012702716,0.9357948228234938
580,19,1,1,other,home,1,1,yes,4,3,5,4,fail,fail,0.715265304536733,0.6920046947743176,0.7385259142991484
55,16,2,1,other,other,2,0,yes,5,1,2,2,pass,pass,0.8786972517244012,0.8618446082453991,0.8955498952034032
49,15,4,4,teacher,other,2,0,yes,4,1,3,2,pass,pass,0.9374572825983541,0.9202644667877635,0.9546500984089448
76,15,4,0,other,course,4,0,yes,3,1,1,0,pass,pass,0.948888502506733,0.9324826718789211,0.9652943331345448
246,17,4,4,teacher,reputation,2,0,yes,4,3,2,0,pass,pass,0.9509487669076954,0.9320866061942564,0.9698109276211343
503,16,1,1,other,course,4,0,yes,2,1,5,0,pass,pass,0.6690573089177576,0.6544311566102756,0.6836834612252396
513,16,3,1,other,course,1,0,yes,3,3,1,0,fail,pass,0.8791950950948287,0.856050363601043,0.9023398265886144
428,15,2,1,other,home,1,0,no,1,1,1,0,fail,fail,0.5628273809523808,0.5478585560830695,0.5777962058216921
529,16,4,4,services,other,1,0,yes,5,2,5,1,pass,pass,0.7386314659935532,0.7150702777244049,0.7621926542627016
261,17,2,1,services,course,2,0,yes,2,1,3,2,pass,pass,0.8178490184037305,0.7986834918663789,0.8370145449410821
301,18,4,3,other,course,2,0,yes,4,1,3,2,pass,pass,0.9272696307660594,0.9161332848981499,0.9384059766339689
17,16,3,3,other,reputation,2,0,yes,5,1,4,2,pass,pass,0.9398583917827078,0.924577128943876,0.9551396546215396
187,16,1,3,services,home,2,0,yes,4,1,3,0,pass,pass,0.8579973597496532,0.8432299178067367,0.8727648016925696
390,18,2,2,other,course,4,0,yes,4,1,4,6,pass,pass,0.940461956088357,0.9263637774409416,0.9545601347357725
362,18,4,4,other,course,2,0,yes,4,3,5,0,pass,pass,0.912288891226695,0.8977713377810513,0.9268064446723386
252,16,4,1,other,home,2,0,yes,5,2,5,0,pass,pass,0.8486051832793278,0.8363261169183062,0.8608842496403494
